Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
389,SEE through COLOURS,,"West area, PLAN-B, Hurksestraat 19",Free,“SEE through COLOURS” is a collection that tries to use colours and silhouettes in garments to blur the boundaries between races and genders.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/upload-project-01-new_1693481280_1800x1010.JPG,https://ddw.nl/en/programme/10415/see-through-colours,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""PRODUCT & CRAFT DESIGN""]",Art Design
390,Self-collab-portrait,,"Centre area, Albert van Abbehuis, Bilderdijklaan 19",Free,"This work embodies the void between a designer's ideal and reality into tangible creations. Navigating various roles, the designer balances discord between visionary pursuits and livelihood demands. Embracing this dissonance as integral, the collaboration of different professions reflects himself.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/_1693913211_1800x1010.png,https://ddw.nl/en/programme/10955/self-collab-portrait,,
391,Sense(s) of care,"See and hear how Philips designers transform healthcare with sound, vision and experiences","Centre area, Philips Museum, Emmasingel 31",Free with DDW Ticket or Entrance Fee,"The ever-changing world of healthcare is full of devices that you can touch, hear or see. Underneath it all, there are systems that must work together.
Join our events at the Philips Museum and online, to get a grasp of how Philips designers transform healthcare – with people’s needs at heart.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/philips-ddw2023-key-image-xl-at-2x_1692273412_1800x1010.png,https://ddw.nl/en/programme/10351/senses-of-care,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
392,SENSETOPIA,Sensory utopia or dystopia?,"West area, Evoluon, Noord Brabantlaan 1A",Free with DDW Ticket,"Imagine a future where we are able to design our senses for our needs – sensing radio waves, UV light, air pollution, and sugar levels in our food. With technological developments like Artificial Intelligence and robotics, we might reach new sensory horizons.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/laila-snevele-sensetopia_1693483137_1800x1010.jpg,https://ddw.nl/en/programme/9916/sensetopia,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Bio Design
393,SHADOW DANCE,A photographic study on how light reacts on textile surfaces to form a dance between the light and the dark.,"Canal area, Gasfabriek 20 | NRE, Gasfabriek 20",,"As a photographer, I have a fascination for light and shadow. Using paper waste from the photography industry, I researched how light reacts to various textile techniques. This is made in passementerie and weaving in the TextielMuseum. The result is a dance between light and dark.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/shadow-dance_1696454041_1800x1010.jpg,https://ddw.nl/en/programme/10702/shadow-dance,,
394,Shadow Dwellers,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"With her ephemeral sculptures of speculative botanical species, Silke Riis plays with the idea of evolution pushed and shaped by climate change. By combining beauty and horror in the aesthetic of each piece, she reflects her own feelings about the uncertain future she is facing.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/aaryan-sinha-epi-man-5-min-best-klein_1694383106_1800x1010.jpg,https://ddw.nl/en/programme/11021/shadow-dwellers,,
395,Shepherd curtains: 100% wool,Not just any curtains.,"Strijp-S area, Klokgebouw | Hall 1, Klokgebouw 50",Free with DDW Ticket,The European market leader in sustainable curtains Royal Vriesco | A House of Happiness introduces curtains made of 100% wool. A natural and renewable material. A sneakpeak of our full Bio-based collection to be presented in January 2024.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/afbeeldingen-maken_1693989902_1800x1010.jpg,https://ddw.nl/en/programme/10663/shepherd-curtains-100-wool,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Bio Design
396,SHIPPO VASE,Cloisonné Vase,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"YOCHIYA presents a series of vases created by combining cloisonné, a traditional craft that is gradually being lost and has deep connections to Japan and Holland, with the highly improvisational contemporary techniques of welding and hydroforming, at Piet Hein Eek.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/230831-ddw2023-shippo-vase-small_1693491734_1800x1010.jpg,https://ddw.nl/en/programme/10009/shippo-vase,"[""EXHIBITIONS"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Art Design
397,Silence is the presence of everything,,"Canal area, Studio Ricky van Broekhoven, Gasfabriek 18",Free,"In our contemporary world, where sound pollution is prevalent, 'Silence is the presence of everything' is an immersive installation that invites the visitor to reconnect to earth's natural soundscapes.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/myubio-aural-ecosystems_1694094579_1800x1010.jpg,https://ddw.nl/en/programme/10423/silence-is-the-presence-of-everything,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING""]",Experience Design
398,Silhouettes by Margriet Foolen,"Inspired by form, materials and nature.","Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"We are surrounded by beauty: from the natural world to inside our homes. When it comes to desirable design, Studio Divers by Margriet Foolen is a treasure trove of products blending form, function and fabulousness.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/studio-divers-object-22-15-bewerkt_1690466328_1800x1010.jpg,https://ddw.nl/en/programme/10090/silhouettes-by-margriet-foolen,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Industrial Design
399,Six And A Half Feet Up And Down,"Joiner Jan Gerritsen lets us talk about life and embrace death, within our home, by designing a coffin that joins its owner on its life journey.","Station area, Fuutlaan 12c, Fuutlaan 12c",Free,"As life progresses and you arrive at a different phase, the coffin's use can be altered to match your needs. The coffin is designed to be used as a book cabinet, a couch, or a storage box.

In addition to presenting this project, Jan will give workshops in planing wood.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/jan-gerritsen-kist-wisse-trooster_1693472024_1800x1010.jpg,https://ddw.nl/en/programme/10231/six-and-a-half-feet-up-and-down,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""PRODUCT & CRAFT DESIGN""]",Social Design
400,Soft Energy Box,Reprogram your energy thinking: generate the limited energy you need at a certain time yourself: your soft energy!,"West area, Fashion Tech Farm, Zeelsterstraat 80",Free,"With the Soft Energy Box no small batteries needed anymore . Produce this energy yourself. Compare your own power to the power human beings are consuming ""normally"". Apply the possibilities in ""Smart Textiles"", where small amounts of energy are needed for a short time.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-first-image_1689828634_1800x1010.jpg,https://ddw.nl/en/programme/9704/soft-energy-box,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Art Design
401,Soft memories – Textiles as potential memory,,"Centre area, Kazerne – Home of Design, Paradijslaan 2-8",Free with DDW Ticket or Entrance Fee,"Svenja Bremen, a Textile Designer and graduate of HAW Hamburg, presents her master graduation project, featuring a collection of knitted textiles produced in collaboration with the TextielLab in Tilburg.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/svenja-bremen-1_1693514741_1800x1010.jpg,https://ddw.nl/en/programme/10425/soft-memories-textiles-as-potential-memory,"[""EXHIBITIONS"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Design Research
402,Soil Symphony,,"Strijp T+R area, BioArt Laboratories, Oirschotsedijk 14-10",Free,"Environmental artist Theo Rekelhof created a kinetic art installation called ‘Soil Symphony’. Through the metaphor of broken records stuck on repeat, he lays bare the absurdity of monoculture and its damaging effects on our soil. Evoking in us a desire for biodiversity and harmonious variation.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/soil-symphony-zwart_1693520742_1800x1010.jpg,https://ddw.nl/en/programme/10075/soil-symphony,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
403,Solar Sands - Lighting Collection,Introducing the Aureole Collection | Where Artistry and Innovation Converge,"Centre area, Kazerne – Home of Design, Paradijslaan 2-8",Free with DDW Ticket or Entrance Fee,"A collection where light becomes a medium, as it creates an intricate dance of contrast & colour. Welcome to the Aureole Collection - where artistry and innovation merge to create an avant-garde series of wall-mounted lighting pieces that transcend the ordinary and embrace the extraterrestrial.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/aureole-lq1-rollostudio-031231_1694625479_1800x1010.jpg,https://ddw.nl/en/programme/10374/solar-sands-lighting-collection,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Bio Design
404,Solid Silhouettes,"On the cusp of art and design, Form Editions presents striking outlines in the third dimension – an exploration of materiality and innovative craft.","Woensel area, Kelderman en van Noort (KEVN), Galileistraat 2",Free,"This exhibition shows new work of the core selection of designers that are connected to Form Editions. Visit us at KEVN in the newly created Collectible Design area of Dutch Design Week, where Form Editions explores the future of collectible design and functional art.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-visual-2440x1600_1694437426_1800x1010.jpg,https://ddw.nl/en/programme/10647/solid-silhouettes,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Interior Design
405,Something For Society,"Students show how collaboration, research, design and technology can contribute to a sustainable and inclusive society.","Centre area, Schellens Fabriek, Bleekweg 1M",Free,Students of Fontys Venlo Industrial Design Engineering (IPO and IDE) transform societal challenges into creative and realistic solutions. Something for Society provides an insight into this process.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/visio-test7-copy_1693511807_1800x1010.jpg,https://ddw.nl/en/programme/10023/something-for-society,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Industrial Design
406,Sounding Ocean - Deep Sea Mining,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Seabed has emerged as a new frontier for resource extraction. The rush to mine remote and unknown habitats, in the name of a renewable energy future, unfolds amidst the backdrop of ecological disregard.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/3best_1694383796_1800x1010.jpg,https://ddw.nl/en/programme/11022/sounding-ocean-deep-sea-mining,,
407,Space Invaders,Architectural photography of abstract brutalist birdhouses and living garden birds,"Canal area, Studio Hans van Asch, Gasfabriek 8",Free,Photographer Hans van Asch presents his new photo series Space Invaders in his studio. Live garden birds land in his backyard on self-made brutalist birdhouses. Bird's freedom versus abstract architectural forms give a dystopian character and raise questions about liveability.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/robot-bird-2023-c-hans-van-asch_1692690796_1800x1010.jpg,https://ddw.nl/en/programme/10038/space-invaders,"[""EXHIBITIONS"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Art Design
408,Spacefarming,The future of food,"West area, Evoluon, Noord Brabantlaan 1A",Free with DDW Ticket,"Next Nature presents Spacefarming: the future of food at the Evoluon. The exhibition explores how we can grow our food differently in the future, on Earth, as well as in space.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/spacefarming-evoluon-plantendome_1696326327_1800x1010.jpg,https://ddw.nl/en/programme/10593/spacefarming,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SPECULATIVE & SOCIAL DESIGN""]",Bio Design
409,Spatial Imprints,,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"Emma's installations are a personal reflection on an architectural context. Through textile translations, a process of spatial appropriation emerges. The work forms a soft architecture where the original function can be questioned.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/foto-1-dsc0133_1693557128_1800x1010.jpg,https://ddw.nl/en/programme/10787/spatial-imprints,,
410,Spin Off / Sustainability of Traditions,,"Centre area, Heuvel 148 - 151 Ingang Muziekcentrum, Heuvel Galerie 133",,"Students from various programs at Koning Willem I College collaborate with external clients. In the design processes, sustainability and traditions are paramount, translated into interactive presentations and performances in the Heuvel.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/dide-hello-witte-wieven_1689584365_1800x1010.jpg,https://ddw.nl/en/programme/9967/spin-off-sustainability-of-traditions,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SPECULATIVE & SOCIAL DESIGN"", ""EDUCATION""]",Social Design
411,Spiraal Fyllotaxis Lampen en Interieurobjecten,"Lamps and interior objects based on the botany-inspired Fibonacci pattern, created using algorithmic design and digital manufacturing techniques","Sectie-C area, Atelier Houtwerff, Daalakkersweg 4-26",Free with DDW Ticket,"The fascinating beauty of the spiral phyllotaxis pattern can be seen in sunflowers and pinecones. Harmonious properties of this pattern have been unraveled with mathematical precision: Fibonacci sequence, symmetry, and the golden ratio are the building blocks for lamp designs and interior objects.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/baguio-tafellampen-o-35-28-21-cm_1693347369_1800x1010.jpg,https://ddw.nl/en/programme/10110/spiraal-fyllotaxis-lampen-en-interieurobjecten,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN "", ""GROUP EXHIBITION""]",Industrial Design
412,Spiritus Ludi (Spirit of the game) - workshop,Smart sleeves to foster social connection in remote e-sports teams.,"Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,"The workshop demonstrates how Spiritus Ludi shares encouraging touches with a participating group. Based on the trial, participants can co-create new innovative uses for the smart sleeve.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/16rajattu-final_1693494156_1800x1010.jpg,https://ddw.nl/en/programme/10242/spiritus-ludi-spirit-of-the-game-workshop,"[""WORKSHOP"", ""OUR EQUAL SOCIETY"", ""SERVICE & INNOVATIVE DESIGN""]",Experience Design
413,Spiritus Ludi - Spirit of the Game in Esports,Smart sleeves foster social connection between e-sport players when gaming remotely.,"Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,"The two smart sleeve products enhance social connection of remote e-sport teams. Spiritus Ludi energises players using “digital high-fives”, while Ripple promotes calmness with synchronised breathing in a team using gentle touch. The development is done at Häme University of Applied Sciences.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/untitled-1_1693492752_1800x1010.jpg,https://ddw.nl/en/programme/10006/spiritus-ludi-spirit-of-the-game-in-esports,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SPECULATIVE & SOCIAL DESIGN"", ""EDUCATION""]",Design Research
414,Spore Arcade,A take on Ruins and Regenerative landscapes,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Spore Arcade proposes a new take on decomposition and what we view as ""waste"" Many man-made structures dacay over time, and there's a lack of rationalization of this process: But what if we saw decay as a potential rather than a barrier?",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/nn-3_1692524908_1800x1010.jpg,https://ddw.nl/en/programme/10053/spore-arcade,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Bio Design
415,Square meters of colour,Painting with natural pigments found close to home,"West area, PLAN-B, Hurksestraat 19",Free,"Miriam Sanders is a painter who creates abstract paintings full of energy.
She loves to make her own paint with pigments from her own environment: from forests to food waste, and all the things her cat has broken in the past 2 years. Each material asks for a different approach.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/467350d5-c5ec-4f5e-b0fa-aa8ee10c5f94_1693221980_1800x1010.jpeg,https://ddw.nl/en/programme/10080/square-meters-of-colour,"[""EXHIBITIONS"", ""OUR THRIVING PLANET""]",Bio Design
416,Stimuleringsfonds presents Talent,,"Strijp-S area, De Portiersloge, Torenallee 1",Free,"Every year, thanks to a grant from Stimuleringsfonds Creatieve Industrie, emerging design talents get the chance to develop to their full artistic and professional potential. Meet the 2023 batch.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/stimuleringsfonds-presents-talent_1693557218_1800x1010.png,https://ddw.nl/en/programme/9817/stimuleringsfonds-presents-talent,"[""EXHIBITIONS"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
417,"STROTEC GEVELS, NATUURLIJK BIOBASED","Scaling up climate-positive construction by making factory-based, completely finished structural façade parts with doors, windows and frames.","Strijp-S area, The New Block, Kastanjelaan 300",Free,"Strotec makes an impact with biobased and climate-positive construction and thus makes it mainstream!

With our 'Next Step' we will pre-assemble line for complete 'Strotec Façades' for housing, schools, offices and institutions. With this we will serve the growing market demand for biobased façades.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-bijgesneden-2_1695975328_1800x1010.jpeg,https://ddw.nl/en/programme/9854/strotec-gevels-natuurlijk-biobased,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Bio Design
418,Studio Carlijn Kingma,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-studio-carlijn-kingma-het-waterwerk-van-ons-geld-dda23-design-research_1689586235_1800x1010.jpg,https://ddw.nl/en/programme/10486/studio-carlijn-kingma,,
419,Studio Claudy Jongstra,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-studio-claudy-jongstra-loads-dda23-best-commissioning-photo-by-heleen-haijtema_1689591139_1800x1010.jpg,https://ddw.nl/en/programme/10475/studio-claudy-jongstra,,
420,Studio Daeukkim,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-dae-uk-kim-dda23-young-designer-mutant-gaga_1689591523_1800x1010.jpg,https://ddw.nl/en/programme/10497/studio-daeukkim,,
421,Studio Fontana,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-gabriel-fontana-dda23-young-designer-multiform_1689592219_1800x1010.jpg,https://ddw.nl/en/programme/10498/studio-fontana,,
422,STUDIO RENS,"MATERIAL-MINDED, COLOURFUL TO THE CORE","Strijp T+R area, studio RENS, Halvemaanstraat 24",Free,“We believe the right colours and materials can lift up a good idea and carry it further.”,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-block-05groot_1692699969_1800x1010.jpg,https://ddw.nl/en/programme/10179/studio-rens,"[""EXHIBITIONS"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Design Research
423,Studio Synergy,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Converting complex topics into tantalising and inspiring experiences is what Studio Synergy does best. By bridging the gap between art and science, concepts, innovations or installations are created that raise awareness and let people marvel over the topics addressed.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/peltchair-structuur-detail-02_1693549408_1800x1010.jpg,https://ddw.nl/en/programme/10719/studio-synergy,,
424,Super Local,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-super-local-from-the-himalayas-nepal-dda23-product-bottle-caps-plastic-shreds-and-himalaya-stones-lr_1689582462_1800x1010.jpg,https://ddw.nl/en/programme/10494/super-local,,
425,Super Nostalgia,Welcome to the supermarket of the future.,"West area, Evoluon, Noord Brabantlaan 1A",Free with DDW Ticket,How annoying would it be if we couldn’t find the ingredients we need at the supermarket? When I read that the climate crisis was affecting agriculture I thought about what the future of food will be like. I turned this frustration into a poster series advertising a supermarket in the 2050s.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/super-nostalgia-gawon-lee-overview-posters_1693048605_1800x1010.jpg,https://ddw.nl/en/programme/10036/super-nostalgia,"[""EXHIBITIONS"", ""INDEPENDENT & CRITICAL DESIGN""]",Art Design
426,Supportive Learning About Cardiogenesis Using Virtual Reality,,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"A VR experience for medical students received additional benefit in comparison to 2D illustrations. Since many processes that take place during the development of the human heart it can only be understood to a limited extent through 2D illustrations, the use of virtual reality (VR) should be used.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/embryo-und-herz-scaled_1694380080_1800x1010.jpg,https://ddw.nl/en/programme/11016/supportive-learning-about-cardiogenesis-using-virtual-reality,,
427,TAILORS AND WEARERS,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-tailors-and-wearers-een-platform-voor-afro-surinaamse-mode-en-erfgoed-dda23-fashion-photo-by-michelle-piergoelam_1689585431_1800x1010.jpg,https://ddw.nl/en/programme/10488/tailors-and-wearers,,
428,Take it Flow,,"Canal area, APTUM (by Ontwerpduo) | Peelcentrale NRE, Gashouder 13",Free,"Flow is a mental state in which we experience happiness because we are positively and intensely engaged with something. Thinking, feeling, wanting, and acting align. Flow is an experience of a sense of purpose and energy.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/aptum-x-theboyscouts-contour-lr1-1200x1600_1693476660_1800x1010.jpg,https://ddw.nl/en/programme/10370/take-it-flow,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Industrial Design
429,Tales of Late Night Snacks,"An invitation into an imaginary landscape and workshops from ‘Red Bean Paste’, three East-Asian artists and designers, at NOR restaurant in Strijp-S.","Strijp-S area, Foundation We Are, Torenallee 22-04",Free,"Red Bean Paste shares their childhood snacks by creating a colorful and playful world. A flying creature carries people into the foodscape, where they can enjoy food from NOR, on tofu bin bags or kimbap furniture. They are also invited to join two Taiwanese dessert-making workshops.",https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/rbp-main-compressed-3_1696372791.pdf,https://ddw.nl/en/programme/10218/tales-of-late-night-snacks,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Art Design
430,TEDXAMSTERDAM WOMEN X ACE,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-ace-missjourney-dda23-best-commissionig_1689589156_1800x1010.jpg,https://ddw.nl/en/programme/10477/tedxamsterdam-women-x-ace,,
431,Ten thousand drops,,"Strijp T+R area, ATWORK, Achtsewegzuid 161E",Free,"Ten Thousand Drops is a limited series of ceramic vases made with the dripping machine MOCA we developed. The machine drips liquid glaze at a certain rhythm, creating unique ceramics with a distinct visual language. Every piece showcases the combination of technology and craft with a natural touch.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/vases-low-1-2_1691947627_1800x1010.jpg,https://ddw.nl/en/programme/9992/ten-thousand-drops,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Industrial Design
432,Terra Firma,Edible Table Landscape,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Terra Firma and Mound Collection engage visitors in dialogues around sustainable choices in food and design, offering a multi-layered experience that intersects art and environmental mindfulness.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/heiterx-ddw-pic-1-photography-alana-proosa_1693493239_1800x1010.jpg,https://ddw.nl/en/programme/10122/terra-firma,"[""EXHIBITIONS"", ""SERVICE & INNOVATIVE DESIGN""]",Bio Design
433,TerraCool,,"Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,"TerraCool is an innovative architectural solution developed to combat urban heat using ceramics for passive cooling through evaporation. Its unique minimal surface geometries enhance cooling performance and structural strength, allowing seamless integration into architecture.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/terracool-15show2-2_1694960026_1800x1010.jpg,https://ddw.nl/en/programme/11078/terracool,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Design Research
434,TerraCool,Urban Oasis,"Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,"TerraCool is an innovative architectural solution developed to combat urban heat using ceramics for passive cooling through evaporation. Its unique minimal surface geometries enhance cooling performance and structural strength, allowing seamless integration into architecture.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/terracool-15show2-2_1694959675_1800x1010.jpg,https://ddw.nl/en/programme/9782/terracool,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Design Research
435,Tête-à-Terra,,"Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,"Tête-à-Terra is where nature's vastness meets human design. Created in collaboration with Mono Earth and Kale by combining unique soils of Cappadocia with waste fragments from ceramic production, in the form of earth bricks, to create a space for random encounters and moments of pause.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/frame-1fixed_1694704438_1800x1010.jpg,https://ddw.nl/en/programme/10277/tete-a-terra,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""INDEPENDENT & CRITICAL DESIGN""]",Experience Design
436,Textile Innovation for people and planet,Various projects from Sustainable and functional textiles show that textiles as a framework can boost innovations for a better living environment,"Station area, Design Perron, Fuutlaan 12",Free,"The work of our research group is aimed to use textile innovation to improve the planet and the lives of people on it. As a team of researchers, technicians and designers we work together with companies, students, institutions and medical partners on amazing textile innovations.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/army-poncho-1-klein_1692695062_1800x1010.jpg,https://ddw.nl/en/programme/10039/textile-innovation-for-people-and-planet,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN"", ""EDUCATION""]",Design Research
437,The Alligator and the Bird,The alligator gets its teeth cleaned by the bird. The bird gets its food from the alligator's teeth.,"Woensel area, Kelderman en van Noort (KEVN), Galileistraat 2",Free,"“The Alligator and the Bird” is a curated group exhibition of international designers, focusing on object design and collaborative methods. By bringing together designers from different disciplines, backgrounds, and generations, this exhibition aims to create new perspectives and methodologies.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw_1694637832_1800x1010.jpg,https://ddw.nl/en/programme/10305/the-alligator-and-the-bird,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN"", ""GROUP EXHIBITION""]",Interior Design
438,The Body is a Movement,Join the new DDW gym,"Sectie-C area, Hall 8 - B, Daalakkersweg 8",Free with DDW Ticket,"Baltan and Onomatopee present the DDW gym - a place to reclaim and reconnect with our bodies. The programme consists of an exhibition at Sectie-C (Hall 8-B, Daalakkersweg 8, Eindhoven) with design projects; a workshop programme; and interventions in the main locations of Dutch Design Week.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-website_1693493823_1800x1010.jpg,https://ddw.nl/en/programme/10251/the-body-is-a-movement,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SPECULATIVE & SOCIAL DESIGN""]",Design Research
439,The Essence of Biocement,,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"Biocement is made using bacteria to bind recycled bricks together with calcium carbonate. The process doesn’t require firing or emit CO2. Using biofabrication and 3D printing, innovative forms of the material can be created.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/theessenceofbiocement-gdg-01_1694031134_1800x1010.jpg,https://ddw.nl/en/programme/10975/the-essence-of-biocement,,
